Date,Direct,Regular,,
31-08-2023,61.3231,57.0238,,
30-08-2023,61.2453,56.9526,,
29-08-2023,61.1517,56.8668,,
28-08-2023,60.8243,56.5636,,
25-08-2023,60.5096,56.2746,,
24-08-2023,60.7503,56.4997,,
23-08-2023,61.07,56.7982,,
22-08-2023,60.7055,56.4604,,
21-08-2023,60.5781,56.3431,,
18-08-2023,60.0775,55.8811,,
17-08-2023,60.3775,56.1614,,
16-08-2023,60.853,56.6049,,
14-08-2023,61.0184,56.7611,,
11-08-2023,60.8213,56.5814,,
10-08-2023,60.9562,56.7082,,
09-08-2023,61.1579,56.8971,,
08-08-2023,61.1877,56.9261,,
07-08-2023,61.3507,57.0789,,
04-08-2023,61.0688,56.8203,,
03-08-2023,60.649,56.4309,,
02-08-2023,60.8634,56.6316,,
01-08-2023,61.5998,57.318,,
31-07-2023,61.6034,57.3226,,
28-07-2023,61.3175,57.0603,,
27-07-2023,60.9991,56.7652,,
26-07-2023,61.0311,56.7962,,
25-07-2023,60.746,56.5321,,
24-07-2023,60.5348,56.3368,,
21-07-2023,60.6482,56.4459,,
20-07-2023,61.0591,56.8296,,
19-07-2023,61.0734,56.8441,,
18-07-2023,60.8571,56.644,,
17-07-2023,60.8153,56.6063,,
14-07-2023,60.6356,56.4427,,
13-07-2023,60.336,56.165,,
12-07-2023,60.1577,56.0002,,
11-07-2023,59.8609,55.7252,,
10-07-2023,59.6766,55.5548,,
07-07-2023,60.0604,55.9157,,
06-07-2023,60.5029,56.3289,,
05-07-2023,60.3683,56.2048,,
04-07-2023,60.0167,55.8786,,
03-07-2023,59.9238,55.7933,,
30-06-2023,59.632,55.5252,,
28-06-2023,59.2879,55.2072,,
27-06-2023,58.8569,54.807,,
26-06-2023,58.9582,54.9025,,
23-06-2023,58.7926,54.7519,,
22-06-2023,58.7528,54.716,,
21-06-2023,59.0944,55.0353,,
20-06-2023,58.997,54.9457,,
19-06-2023,58.7729,54.7382,,
16-06-2023,59.0057,54.9585,,
15-06-2023,58.6131,54.5941,,
14-06-2023,58.5809,54.5652,,
13-06-2023,58.5135,54.5036,,
12-06-2023,58.0131,54.0387,,
09-06-2023,57.9511,53.9844,,
08-06-2023,58.0973,54.1218,,
07-06-2023,58.7393,54.721,,
06-06-2023,58.5154,54.5136,,
05-06-2023,58.4147,54.421,,
02-06-2023,58.2626,54.2828,,
01-06-2023,57.9777,54.0185,,
31-05-2023,58.3362,54.3537,,
30-05-2023,58.403,54.417,,
29-05-2023,58.3159,54.3371,,
26-05-2023,57.8775,53.9321,,
25-05-2023,57.3694,53.4597,,
24-05-2023,57.2893,53.3863,,
23-05-2023,57.2695,53.3689,,
22-05-2023,56.9716,53.0925,,
19-05-2023,56.7787,52.9162,,
18-05-2023,56.5473,52.7016,,
17-05-2023,56.6016,52.7534,,
16-05-2023,56.6606,52.8095,,
15-05-2023,56.7543,52.8979,,
12-05-2023,56.7739,52.9196,,
11-05-2023,56.6883,52.8409,,
10-05-2023,56.3903,52.5643,,
09-05-2023,56.2813,52.4639,,
08-05-2023,56.1744,52.3653,,
05-05-2023,55.816,52.0345,,
04-05-2023,56.0905,52.2916,,
03-05-2023,55.9965,52.2051,,
02-05-2023,56.0465,52.2529,,
28-04-2023,55.9938,52.2082,,
27-04-2023,55.2039,51.4728,,
26-04-2023,54.7723,51.0715,,
25-04-2023,54.8765,51.1697,,
24-04-2023,54.9557,51.2446,,
21-04-2023,54.651,50.9638,,
20-04-2023,54.5813,50.8999,,
19-04-2023,54.5254,50.8489,,
18-04-2023,54.6757,50.9901,,
17-04-2023,54.6034,50.9237,,
13-04-2023,54.2611,50.6089,,
12-04-2023,54.3566,50.6991,,
11-04-2023,54.3747,50.717,,
10-04-2023,54.1678,50.5251,,
06-04-2023,53.8142,50.1996,,
05-04-2023,53.796,50.1837,,
03-04-2023,53.4035,49.8197,,
31-03-2023,53.0485,49.4917,,
29-03-2023,52.3695,48.8604,,
28-03-2023,52.2485,48.7486,,
27-03-2023,52.4353,48.924,,
24-03-2023,52.5501,49.0343,,
23-03-2023,52.6859,49.1622,,
22-03-2023,52.9187,49.3806,,
21-03-2023,52.6837,49.1624,,
20-03-2023,52.6068,49.0917,,
17-3-2023,52.8102,49.2848,,
16-3-2023,52.437,48.9376,,
